127.0.0.1 - - [28/Jan/2020:07:56:18 +0100] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [28/Jan/2020:07:56:19 +0100] "GET /Artieklprojekt/WEB-INF/web.xml HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [28/Jan/2020:07:56:33 +0100] "GET /Artieklprojekt/login.jsp HTTP/1.1" 200 655
0:0:0:0:0:0:0:1 - - [28/Jan/2020:07:56:44 +0100] "GET /Artieklprojekt/login.jsp HTTP/1.1" 200 655
0:0:0:0:0:0:0:1 - - [28/Jan/2020:08:00:51 +0100] "POST /Artieklprojekt/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Jan/2020:08:00:51 +0100] "GET /Artieklprojekt/comments.jsp HTTP/1.1" 200 607
0:0:0:0:0:0:0:1 - - [28/Jan/2020:08:00:56 +0100] "POST /Artieklprojekt/Comments HTTP/1.1" 200 1878
0:0:0:0:0:0:0:1 - - [28/Jan/2020:08:18:14 +0100] "POST /Artieklprojekt/Comments HTTP/1.1" 500 5907
0:0:0:0:0:0:0:1 - - [28/Jan/2020:08:18:18 +0100] "GET /Artieklprojekt/login.jsp HTTP/1.1" 200 655
0:0:0:0:0:0:0:1 - - [28/Jan/2020:08:18:22 +0100] "POST /Artieklprojekt/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Jan/2020:08:18:22 +0100] "GET /Artieklprojekt/comments.jsp HTTP/1.1" 200 607
0:0:0:0:0:0:0:1 - - [28/Jan/2020:08:18:24 +0100] "POST /Artieklprojekt/Comments HTTP/1.1" 500 5907
0:0:0:0:0:0:0:1 - - [28/Jan/2020:08:21:59 +0100] "GET /Artieklprojekt/singlepost HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Jan/2020:08:21:59 +0100] "GET /Artieklprojekt/login.jsp HTTP/1.1" 200 655
0:0:0:0:0:0:0:1 - - [28/Jan/2020:08:22:03 +0100] "POST /Artieklprojekt/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Jan/2020:08:22:03 +0100] "GET /Artieklprojekt/comments.jsp HTTP/1.1" 200 607
0:0:0:0:0:0:0:1 - - [28/Jan/2020:08:22:05 +0100] "POST /Artieklprojekt/Comments HTTP/1.1" 500 5907
0:0:0:0:0:0:0:1 - - [28/Jan/2020:08:22:50 +0100] "GET /Artieklprojekt/singlepost HTTP/1.1" 500 5193
0:0:0:0:0:0:0:1 - - [28/Jan/2020:08:23:00 +0100] "GET /Artieklprojekt/login.jsp HTTP/1.1" 200 655
0:0:0:0:0:0:0:1 - - [28/Jan/2020:08:23:04 +0100] "POST /Artieklprojekt/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Jan/2020:08:23:04 +0100] "GET /Artieklprojekt/comments.jsp HTTP/1.1" 200 607
0:0:0:0:0:0:0:1 - - [28/Jan/2020:08:23:05 +0100] "POST /Artieklprojekt/Comments HTTP/1.1" 500 5907
0:0:0:0:0:0:0:1 - - [28/Jan/2020:08:29:39 +0100] "GET /Artieklprojekt/singlepost HTTP/1.1" 500 5180
